Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,satisfaction
0.0,0.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,5.0,3.0,4.0,4.0,2.0,3.0,2.0,Female,Loyal Customer,25,Personal Travel,Eco,4963,neutral or dissatisfied
3.0,0.0,3.6,5.0,3.6,2.0,2.8,5.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,1.0,Female,Loyal Customer,63,Personal Travel,Business,4983,satisfied
0.0,13.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,1.0,3.0,1.0,Female,Loyal Customer,45,Business travel,Business,4963,satisfied
18.0,0.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,4.0,1.0,4.0,Female,Loyal Customer,31,Business travel,Eco,4983,satisfied
17.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,Female,Loyal Customer,42,Business travel,Eco Plus,4817,neutral or dissatisfied
0.0,0.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,Female,Loyal Customer,50,Business travel,Business,4983,satisfied
12.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,Female,Loyal Customer,57,Business travel,Business,4963,satisfied
6.0,0.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,Female,Loyal Customer,29,Personal Travel,Eco,4983,neutral or dissatisfied
4.0,26.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,Male,Loyal Customer,10,Personal Travel,Eco,4817,neutral or dissatisfied
0.0,0.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,5.0,1.0,5.0,Male,Loyal Customer,15,Personal Travel,Eco,4502,satisfied
0.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,Male,Loyal Customer,61,Business travel,Eco,4502,neutral or dissatisfied
0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,Female,Loyal Customer,42,Business travel,Business,4502,satisfied
12.0,17.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,Female,Loyal Customer,57,Personal Travel,Eco,4963,neutral or dissatisfied
0.0,32.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,Male,Loyal Customer,35,Personal Travel,Eco,4502,neutral or dissatisfied
0.0,0.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,Male,Loyal Customer,42,Business travel,Business,4983,satisfied
